"filename", "language", "C#", "YAML", "XML", "Docker", "Ignore", "Markdown", "TypeScript JSX", "JSON", "TypeScript", "Terraform", "terraform-vars", "JSON with Comments", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/cloudfront.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 9, 16, 95
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/outputs.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/route53_public.tf.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 5, 20
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/variables.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/alb.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 20, 80
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/cloudwatch.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/ecs_cluster.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/ecs_service.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 9, 37
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/ecs_task_definition.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 8, 42
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/iam_roles.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 8, 48
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/ls_framework_sg.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 7, 19, 86
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/output.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/route53_private.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
